,,,Before,,,,,,,,,,,After,,,,
,,,,,,,,,,,,,,,,,,
========== RoomId : 0 MemoryPooling before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 MemoryPooling After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Field,100,0.14219,0.0420003,0.881,0.0549998,0.881,0.115009,,,,Field,100,0.13633,0.0440001,0.302,0.0469999,0.302,0.0507417
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 200Room&20Player Before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 200Room&25Player After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Monster,100,0.02927,0.0079999,0.0710001,0.0110002,0.0710001,0.0122318,,,,Monster,100,0.02854,0.00699997,0.152,0.00699997,0.152,0.018716
Room,100,1.91617,0.79,13.032,1.307,13.032,1.55267,,,,Room,100,1.85894,0.802,5.067,0.893,5.067,0.710134
Projectile,100,0.00994998,0.000999928,0.04,0.00199986,0.04,0.00641306,,,,Projectile,100,0.00963002,0,0.0320001,0,0.0320001,0.006426
Field,100,0.07495,0.027,0.422,0.0349998,0.422,0.0431628,,,,Field,100,0.136,0.0519996,0.818,0.053,0.818,0.0944072
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 200Room&20Player Before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 200Room&25Player After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Monster,100,0.0317,0.00999975,0.168,0.0109997,0.168,0.0184057,,,,Monster,100,0.03202,0.0110002,0.125,0.0110002,0.125,0.0176969
Room,100,1.65147,1.309,4.07,1.321,4.07,0.425376,,,,Room,100,1.72282,0.729,5.619,0.776,5.619,0.584992
Projectile,100,0.00790001,0,0.0250001,0,0.0250001,0.00606221,,,,Projectile,100,0.00830999,0,0.0250001,0,0.0250001,0.00564395
Field,100,0.06267,0.0320001,0.27,0.0349998,0.27,0.0260661,,,,Field,100,0.09183,0.033,0.186,0.0359998,0.186,0.0409033
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 200Room&20Player Before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 200Room&25Player After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Monster,100,0.03501,0.0149999,0.154,0.0160003,0.154,0.0174347,,,,Monster,100,0.03195,0.00699997,0.129,0.0109997,0.129,0.015237
Room,100,1.79292,1.255,7.47,1.292,7.47,0.728426,,,,Room,100,1.77346,0.789,11.203,0.816,11.203,1.14154
Projectile,100,0.00794999,0,0.0320001,0,0.0320001,0.00599895,,,,Projectile,100,0.00914999,0,0.0679998,0,0.0679998,0.00868029
Field,100,0.07769,0.0239997,0.25,0.0320001,0.25,0.0323873,,,,Field,100,0.08615,0.052,0.206,0.0549998,0.206,0.0230861
======================================,,,,,,,,,,,======================================,,,,,,,
,,,,,,,,,,,,,,,,,,
========== RoomId : 0 1Room&1000Player Before, ObjectUpdate BENCHMARK SUMMARY ==========,,,,,,,,,,========== RoomId : 0 1Room&1000Player Before, ChunkUpdate BENCHMARK SUMMARY ==========,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,1Room,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Update,100,0.77949,0.046,3.685,0.072,3.685,0.461482,,1000 dummy,,Update,100,0.79333,0.0190001,5.727,0.0209999,5.727,0.62443
Room,100,1.14585,0.0570002,4.308,0.26,4.308,0.548492,,600 monster,,Room,100,1.18255,0.033,6.539,0.185,6.539,0.813243
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 1Room&1000Player Before, ObjectUpdate BENCHMARK SUMMARY ==========,,,,,,,,Object가 많을수록,,========== RoomId : 0 1Room&1000Player Before, ChunkUpdate BENCHMARK SUMMARY ==========,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,빠르고 안정적,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Update,100,0.68064,0.501,1.33,0.518,1.33,0.105085,,,,Update,100,0.66986,0.487,1.231,0.488,1.231,0.132639
Room,100,1.14843,0.766,2.14,0.769,2.14,0.219855,,,,Room,100,1.09883,0.711,2.039,0.746,2.039,0.241931
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 1Room&1000Player Before, ObjectUpdate BENCHMARK SUMMARY ==========,,,,,,,,,,========== RoomId : 0 1Room&1000Player Before, ChunkUpdate BENCHMARK SUMMARY ==========,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Update,100,0.60346,0.409,1.342,0.42,1.342,0.146255,,,,Update,100,0.58258,0.377,1.15,0.38,1.15,0.11722
Room,100,1.02332,0.674,1.886,0.678,1.886,0.244637,,,,Room,100,0.97058,0.595,1.686,0.605,1.686,0.194393
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 1Room&1000Player Before, ObjectUpdate BENCHMARK SUMMARY ==========,,,,,,,,,,========== RoomId : 0 1Room&1000Player Before, ChunkUpdate BENCHMARK SUMMARY ==========,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Update,100,0.54863,0.383,0.761,0.396,0.761,0.0698683,,,,Update,100,0.52005,0.38,0.818,0.402,0.818,0.0708887
Room,100,0.94239,0.635,1.661,0.639,1.661,0.168642,,,,Room,100,0.89206,0.613,1.582,0.621,1.582,0.157072
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 1Room&1000Player Before, ObjectUpdate BENCHMARK SUMMARY ==========,,,,,,,,,,========== RoomId : 0 1Room&1000Player Before, ChunkUpdate BENCHMARK SUMMARY ==========,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Update,100,0.55842,0.347,1.317,0.391,1.317,0.132954,,,,Update,100,0.50301,0.341,0.817,0.368,0.817,0.0760308
